animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
92976,AAAHG1080413001,3,58,新北市五股區公立動物之家,狗,N,MEDIUM,棕色,,F,F,重陽路,,OPEN,,,,2999-12-31,2019/04/13,2019/04/13,新北市五股區公立動物之家,http://asms.coa.gov.tw/amlapp/upload/pic/4d5e33ef-84a4-46ce-8afc-b49fdab096ac_org.jpg,,2019/04/13,新北市五股區外寮路9之9號,02-82925265
92975,CAAAG1080413006,6,61,桃園市動物保護教育園區,狗,F,MEDIUM,黃色,ADULT,F,F,黃塘村１４鄰,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/13,桃園市動物保護教育園區,http://asms.coa.gov.tw/amlapp/upload/pic/679e47c5-7408-4de6-89ea-c079793cc183_org.JPG,,2019/04/13,桃園市新屋區永興里大牛欄117號,03-4861760
92973,LAAAG1080413D5-2,17,75,高雄市壽山動物保護教育園區,貓,F,SMALL,虎斑色,CHILD,F,F,文教路,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/13,高雄市壽山動物保護教育園區,,,2019/04/13,高雄市鼓山區萬壽路350號,07-5519059
92972,LAAAG1080413C1-2,17,75,高雄市壽山動物保護教育園區,貓,F,BIG,黑色,ADULT,F,F,大公路,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/13,高雄市壽山動物保護教育園區,,,2019/04/13,高雄市鼓山區萬壽路350號,07-5519059
92971,LAAAG1080413C1-1,17,75,高雄市壽山動物保護教育園區,貓,F,BIG,虎斑色,ADULT,F,F,大公路,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/13,高雄市壽山動物保護教育園區,,,2019/04/13,高雄市鼓山區萬壽路350號,07-5519059
92429,QAAAG1080410002,4,48,基隆市寵物銀行,貓,M,SMALL,黑白色,CHILD,F,F,仁愛區仁愛市場,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/09,基隆市寵物銀行,http://asms.coa.gov.tw/amlapp/upload/pic/5f6a06bd-90f5-4a5d-9d4e-43ec584d772e_org.JPG,,2019/04/13,基隆市七堵區大華三路45-12號,02-24560148
92428,QAAAG1080410001,4,48,基隆市寵物銀行,貓,M,SMALL,虎斑色,CHILD,F,F,仁愛區仁愛市場,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/09,基隆市寵物銀行,http://asms.coa.gov.tw/amlapp/upload/pic/98b053ad-86a1-40b4-8e02-9f04c73fdce9_org.JPG,,2019/04/13,基隆市七堵區大華三路45-12號,02-24560148
92146,QAAAG1080408004,4,48,基隆市寵物銀行,貓,F,SMALL,黑白色,CHILD,F,F,劉銘傳路,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/08,基隆市寵物銀行,http://asms.coa.gov.tw/amlapp/upload/pic/84cd94c2-2889-4aac-ae9c-69f55c655784_org.JPG,,2019/04/13,基隆市七堵區大華三路45-12號,02-24560148
92148,QAAAG1080408005,4,48,基隆市寵物銀行,貓,F,SMALL,三花色,CHILD,F,F,劉銘傳路,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/08,基隆市寵物銀行,http://asms.coa.gov.tw/amlapp/upload/pic/c99c908d-ac57-4f3b-93ed-bb58eaeed012_org.JPG,,2019/04/13,基隆市七堵區大華三路45-12號,02-24560148
92970,AAACG1080413001,3,51,新北市新店區公立動物之家,貓,N,MEDIUM,虎斑白色,,F,F,寶高路120巷4弄2號門口,,OPEN,,,2019-04-13,2999-12-31,2019/04/13,2019/04/13,新北市新店區公立動物之家,,,2019/04/13,新北市新店區安泰路235號,02-22159462
