"統一編號","商業名稱","商業地址","登記狀態"
"00146906","開心狗寵物美容工坊","高雄市大樹區久堂路１５７號１樓","核准設立"
"01218364","頂邑寵物精品美容館","雲林縣斗六市仁愛里中華路392號","歇業／撤銷"
"01218364","頂邑寵物精品美容館","新北市三重區雙園街8號(1樓)","遷他縣市"
"01250461","哈囉寵物美容","桃園市桃園區同德里中埔一街76號1-3樓","核准設立"
"01265669","寵貝比寵物沙龍","桃園市桃園區春日里14鄰大業路二段137號1樓","核准設立"
"01437678","櫂振寵物店","桃園市大溪區仁文里介壽路979號、981號","核准設立"
"01474672","飛雲名犬舍","桃園市平鎮區義民里環南路524號","核准設立"
"01527410","三顧貓廬寵物生活館","桃園市龜山區兔坑里茶專路172巷9號","核准設立"
"01702438","富岡吉娃娃犬舍","桃園市楊梅區豐野里中正路499號","核准設立"
"02115366","普洢洛寵物美容工作室","新北市中和區員山路150之30號","核准設立"
"02128382","樂芙寵物旅館","新北市三重區永安北路2段107號(1樓)","核准設立"
"02274194","納米寵物生活館","新北市樹林區大雅路366號","核准設立"
"02396507","荳格寵物美學館","新北市板橋區新民街7巷19號1樓","核准設立"
"02396577","犬之湯屋寵物館","新北市中和區安樂路50號(1樓)","核准設立"
"02397029","小喜寵物美容","新北市板橋區中山路2段26號(1樓)","核准設立"
"02397626","艾莉亞寵物精品美容","新北市永和區得和路82號","核准設立"
"02413885","沐鑫商行","新北市板橋區長江路2段41號","核准設立"
"02416932","快樂熊寵物美容坊","新北市板橋區民權路67號(1樓)","核准設立"
"02431223","那金瑞寵物家族館","新北市永和區中正路286巷10號(1樓)","核准設立"
"02434621","誼家寵物生活館","新北市汐止區康寧街378號(1樓)","核准設立"
"02611935","趴趴狗寵物犬舍","新竹縣竹東鎮資源街20巷42號","核准設立"
"02914017","多那寵物沙龍","桃園市桃園區豐林里建國路242號1樓","核准設立"
"02980206","咖啡逗寵物生活館","新北市三重區三信路118號(1樓)","歇業／撤銷"
"06155304","雅淳商行","南投縣竹山鎮頂林路一一號一樓","核准設立"
"06503660","高生名犬犬行","臺南市安南區溪頂里長溪街1段407巷16弄36號1樓","歇業／撤銷"
"08655585","永承寵物坊","新北市淡水區學府路１８２號","廢止"
"08666669","寵翻天商行","新北市中和區捷運路１７３號","核准設立"
"08688087","桑尼的寵物樂園","新北市永和區永貞路４４３號１樓","歇業／撤銷"
"08692364","寵物殿美容精品屋","新北市林口區忠孝路３７６巷３９號１樓","遷他縣市"
"08692364","寶堡樂寵物美容","桃園市八德區大愛里和平路168號","核准設立"
"08711778","貝麗寵物店","新北市泰山區明志路１段４８５號","歇業／撤銷"
"08711799","菊次狼寵物店","新北市新店區安民街３巷２３號１樓","歇業／撤銷"
"08721641","愛雅寵物美容館","新北市淡水區新民街1段155號","歇業／撤銷"
"08726786","上美寵物坊","新北市新莊區中正路730之11號","核准設立"
"08737453","烘焙狗生活館","新北市土城區學府路１段９８巷２１號１樓","核准設立"
"08795299","巧思寵物美容坊","臺中市太平區中興里中興東路３４號１樓","歇業／撤銷"
"08936636","宜鴻商行","高雄市鼓山區中華１路２２２０號１樓","核准設立"
"08955443","咔樂小舖","臺南市東區德光里林森路1段218號1樓","核准設立"
"09063531","妮可狗狗寵物館","臺南市北區正覺里西門路4段386號1樓","歇業／撤銷"
"09109375","艾莎寵物生活館","臺南市中西區民權里民族路3段145號1樓","歇業／撤銷"
"09130102","莘蒂愛犬","高雄市鳳山區埤頂里建國路１段５３巷２弄４２之１號１樓","核准設立"
"09134064","真愛寵物用品生活館","臺南市東區德光里崇明路109號1樓","歇業／撤銷"
"09186914","逢甲旗艦寵物店","臺中市西屯區逢福里文華路５７號１樓","歇業／撤銷"
"09186935","愛錸寵物店","臺中市北屯區新平里中清路９９之１４號１樓","歇業／撤銷"
"09222806","酷奇寵物生活館","臺中市南屯區三義里河南路四段１８０之１號１樓","歇業／撤銷"
"09235008","幸福狗生活館","臺中市南屯區田心里五權西路二段４３６號１樓","歇業／撤銷"
"09276648","凱普頓寵物用品店","彰化縣員林市仁美里育英路１１４之２號１樓","廢止"
"09278293","霸魯特犬舍","臺中市西屯區何明里太原路１段１４５號１樓","歇業／撤銷"
"09290923","歐美動物美容坊","臺中市北屯區北京里太原路３段２７５號１樓","核准設立"
"09291471","松林寵物樂園","南投縣草屯鎮富寮里富頂路１段１５０巷３號","歇業／撤銷"
"09298621","可兒家族寵物精品行","臺中市南屯區文山里文山七街２２３號１樓","核准設立"
"09306045","狗狗寵物工坊","臺中市大里區永隆里國光路二段３４９號１樓","歇業／撤銷"
"09311265","上格寵物精品生活館","臺中市南屯區春社里永春南路３５號１樓","歇業／撤銷"
"09315543","優格寵物生活館","彰化縣員林市三和里成功東路１３５號１樓","歇業／撤銷"
"09337737","優霈寵物店","彰化縣彰化市復興里中山路３段１４４號","歇業／撤銷"
"09504116","皇家寵物生活百貨店","臺南市東區後甲里中華東路1段259號1樓","歇業／撤銷"
"09529812","凱蒂愛犬屋","臺南市七股區樹林里樹林7之6號1樓","核准設立"
"09566674","金禾寵物店","臺南市中西區光賢里武聖路27巷26弄22號1樓（僅供辦公室使用）","歇業／撤銷"
"09581350","流川丰寵物生活館","臺南市中西區開山里大同路1段88號1樓","歇業／撤銷"
"09611489","柏凱商行","新北市中和區信義街１０２號","廢止"
"09621830","寵物閣商行","新北市新店區建國路98號1樓","歇業／撤銷"
"09624652","金寶寵物坊","新北市新莊區八德街１７０號１樓（僅得使用一樓）","歇業／撤銷"
"09639851","吉比寵物精品館","新北市三重區自強路2段20號(1樓)","核准設立"
"09649871","吉旺寵物精品坊","桃園市中壢區光明里明德路２７２號１樓","核准設立"
"09651496","峰狗小莫寵物店","新北市新莊區中港路６４２號１樓","核准設立"
"09652501","亨佑犬舍","新北市新店區安康路3段36號(1樓)","核准設立"
"09662058","寵物當家美容生活館","新北市蘆洲區永康街28號1樓","歇業／撤銷"
"09662445","真愛家族寵物坊","新北市五股區成泰路３段３４７巷８號","歇業／撤銷"
"09679261","犬家寵物企業社","新北市泰山區泰林路２段１００號１樓","歇業／撤銷"
"09681626","太陽神犬舍","新北市土城區廣明街６３巷２１號","歇業／撤銷"
"09689850","日月幼犬之家","基隆市信義區東明里東光路一四號一樓","歇業／撤銷"
"09692291","御犬寵物美容坊","新北市永和區秀朗路２段１３０號（１樓）","歇業／撤銷"
"09698112","溫度系列商行","新北市新店區永華街７號１樓","歇業／撤銷"
"09706675","新魚寵物水族館","新北市新莊區中正路４７６號","歇業／撤銷"
"09711760","欣愛寵物坊","新北市三重區中正南路８１號","核准設立"
"09730915","龜山寵物殿犬貓美容生活館","桃園市龜山區大湖里文興路５１號","歇業／撤銷"
"09736410","妮妮寵物坊","新北市板橋區金門街４１５號","核准設立"
"09737683","寵物天地飼料用品店","新北市永和區環河西路２段２３７號１樓","廢止"
"09740316","幸福狗狗美容精品坊","新北市板橋區館前西路１５８之１號１樓","歇業／撤銷"
"09751122","神氣寵物王寵物店","新北市新莊區八德街８２號１樓","核准設立"
"09797529","太樸寵物生活館","桃園市中壢區普仁里中北路５１號１樓","核准設立"
"09803634","惠進商行","新北市樹林區千歲街10號","核准設立"
"09828585","狗狗幫寵物坊","宜蘭縣宜蘭市建軍里民族路四一三號一樓","核准設立"
"09829825","環北寵物店","桃園市中壢區永光里環北路１７、１９號１樓","歇業／撤銷"
"09829992","酷狗辣喵寵物精品美容店","新北市中和區仁愛街７３號","申覆（辯）期"
