"統一編號","商業名稱","商業地址","登記狀態"
"00146906","開心狗寵物美容工坊","高雄市大樹區久堂路１５７號１樓","核准設立"
"00262904","羊咩咩寵物生活館","高雄市鳳山區青年路２段２０７號１樓","核准設立"
"00460329","冠軍寵物美容百貨","高雄市鼓山區九如四路２００９號１樓","歇業／撤銷"
"00678121","仁德商店","基隆市仁愛區仁三路一二號","歇業／撤銷"
"01218364","頂邑寵物精品美容館","雲林縣斗六市仁愛里中華路392號","歇業／撤銷"
"01218364","頂邑寵物精品美容館","新北市三重區雙園街8號(1樓)","遷他縣市"
"01250461","哈囉寵物美容","桃園市桃園區同德里中埔一街76號1-3樓","核准設立"
"01437678","櫂振寵物店","桃園市大溪區仁文里介壽路979號、981號","核准設立"
"01474672","飛雲名犬舍","桃園市平鎮區義民里環南路524號","核准設立"
"01527410","三顧貓廬寵物生活館","桃園市龜山區兔坑里茶專路172巷9號","核准設立"
"01702438","富岡吉娃娃犬舍","桃園市楊梅區豐野里中正路499號","核准設立"
"02115366","普洢洛寵物美容工作室","新北市中和區員山路150之30號","核准設立"
"02274194","納米寵物生活館","新北市樹林區大雅路366號","核准設立"
"02396507","荳格寵物美學館","新北市板橋區新民街7巷19號1樓","核准設立"
"02396577","犬之湯屋寵物館","新北市中和區安樂路50號(1樓)","核准設立"
"02397029","小喜寵物美容","新北市板橋區中山路2段26號(1樓)","核准設立"
"02413885","沐鑫商行","新北市板橋區長江路2段41號","核准設立"
"02416932","快樂熊寵物美容坊","新北市板橋區民權路67號(1樓)","核准設立"
"02434621","誼家寵物生活館","新北市汐止區康寧街378號(1樓)","核准設立"
"02681072","招財犬舍","新竹縣新埔鎮下寮里義民路三段578巷11號","核准設立"
"02914017","多那寵物沙龍","桃園市桃園區豐林里建國路242號1樓","核准設立"
"02980206","咖啡逗寵物生活館","新北市三重區三信路118號(1樓)","歇業／撤銷"
"06155304","雅淳商行","南投縣竹山鎮頂林路一一號一樓","核准設立"
"06596034","佳香鮮花店","臺南市新化區豐榮里大智路28巷13號","歇業／撤銷"
"06723159","澄清湖鳥園","高雄市三民區本武里澄清路７３５號","歇業／撤銷"
"06993189","北站鳥店","高雄市三民區十全２路３６３號","核准設立"
"08655585","永承寵物坊","新北市淡水區學府路１８２號","廢止"
"08666669","寵翻天商行","新北市中和區捷運路１７３號","核准設立"
"08688087","桑尼的寵物樂園","新北市永和區永貞路４４３號１樓","歇業／撤銷"
"08692364","寵物殿美容精品屋","新北市林口區忠孝路３７６巷３９號１樓","遷他縣市"
"08692364","寶堡樂寵物美容","桃園市八德區大愛里和平路168號","核准設立"
"08711778","貝麗寵物店","新北市泰山區明志路１段４８５號","歇業／撤銷"
"08721641","愛雅寵物美容館","新北市淡水區新民街1段155號","歇業／撤銷"
"08721847","小不點寵物坊企業社","新北市林口區文化二路１段４６號１樓","歇業／撤銷"
"08722331","寵物森林寵物生活館","新北市板橋區陽明街６８號１樓","歇業／撤銷"
"08726786","上美寵物坊","新北市新莊區中正路730之11號","核准設立"
"08736644","蓉蓉寵物店","新北市板橋區長江路３段１５號（１樓）","歇業／撤銷"
"08737453","烘焙狗生活館","新北市土城區學府路１段９８巷２１號１樓","核准設立"
"08771613","壹零玖幼犬專賣店","臺中市龍井區田中里舊車路８９巷１弄９號（限一樓）","歇業／撤銷"
"08833131","米妮寵物坊","臺中市大里區金城里上興街二段１００號１樓","核准設立"
"08884601","迷妳寵物店","高雄市新興區六合１路１３號","核准設立"
"08916081","傑克寵物工作室","高雄市苓雅區成功１路３９號１樓","歇業／撤銷"
"08936636","宜鴻商行","高雄市鼓山區中華１路２２２０號１樓","核准設立"
"09015573","心肝寶貝寵物店","屏東縣潮州鎮三共里一九鄰延平路三一八號壹樓","歇業／撤銷"
"09028768","珍愛狗貓寵物館","臺南市中西區協和里文賢路181號1樓","歇業／撤銷"
"09063531","妮可狗狗寵物館","臺南市北區正覺里西門路4段386號1樓","歇業／撤銷"
"09109375","艾莎寵物生活館","臺南市中西區民權里民族路3段145號1樓","歇業／撤銷"
"09120603","極速重車行","臺南市南區府南里大成路2段123號1樓","停業"
"09130102","莘蒂愛犬","高雄市鳳山區埤頂里建國路１段５３巷２弄４２之１號１樓","核准設立"
"09134064","真愛寵物用品生活館","臺南市東區德光里崇明路109號1樓","歇業／撤銷"
"09186153","皇家寵物美容坊","彰化縣員林市和平里中山路２段１１１號","歇業／撤銷"
"09186914","逢甲旗艦寵物店","臺中市西屯區逢福里文華路５７號１樓","歇業／撤銷"
"09186935","愛錸寵物店","臺中市北屯區新平里中清路９９之１４號１樓","歇業／撤銷"
"09203527","幸福寵物工坊","臺中市南屯區豐樂里文心南五路３２３之６號","歇業／撤銷"
"09222806","酷奇寵物生活館","臺中市南屯區三義里河南路四段１８０之１號１樓","歇業／撤銷"
"09225521","醬子犬屋","彰化縣彰化市東興里東民街１９號１樓","歇業／撤銷"
"09228040","旺達寵物生活館","臺中市大里區永隆里國光路二段５６５號１樓﹝限一樓﹞","歇業／撤銷"
"09235008","幸福狗生活館","臺中市南屯區田心里五權西路二段４３６號１樓","歇業／撤銷"
"09276648","凱普頓寵物用品店","彰化縣員林市仁美里育英路１１４之２號１樓","廢止"
"09278293","霸魯特犬舍","臺中市西屯區何明里太原路１段１４５號１樓","歇業／撤銷"
"09290923","歐美動物美容坊","臺中市北屯區北京里太原路３段２７５號１樓","核准設立"
"09298328","寵物當家","苗栗縣苗栗市福麗里21鄰民族路97號1樓","歇業／撤銷"
"09311265","上格寵物精品生活館","臺中市南屯區春社里永春南路３５號１樓","歇業／撤銷"
"09315543","優格寵物生活館","彰化縣員林市三和里成功東路１３５號１樓","歇業／撤銷"
"09337737","優霈寵物店","彰化縣彰化市復興里中山路３段１４４號","歇業／撤銷"
"09342099","高山叢林禽鳥飼料行","臺中市豐原區西湳里三豐路８９１號１樓","歇業／撤銷"
"09512967","觀山水水族寵物量販店","嘉義市西區垂楊里新民路８０４號一樓","歇業／撤銷"
"09529812","凱蒂愛犬屋","臺南市七股區樹林里樹林7之6號1樓","核准設立"
